day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	10
1	10	80
1	11	45
1	12	20
1	13	64
1	14	12
1	15	1
1	16	64
1	17	108
1	18	2
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	1
2	1	1
2	2	6
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	1
2	10	7
2	11	9
2	12	0
2	13	11
2	14	10
2	15	3
2	16	22
2	17	31
2	18	4
2	19	4
2	20	8
2	21	3
2	22	0
2	23	0
2	24	0
3	1	1
3	2	1
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	54
3	11	31
3	12	9
3	13	38
3	14	6
3	15	1
3	16	3
3	17	4
3	18	0
3	19	0
3	20	2
3	21	3
3	22	3
3	23	4
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	5
4	10	63
4	11	17
4	12	11
4	13	11
4	14	12
4	15	9
4	16	23
4	17	29
4	18	9
4	19	10
4	20	10
4	21	12
4	22	4
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	4
5	10	43
5	11	38
5	12	1
5	13	51
5	14	57
5	15	51
5	16	83
5	17	108
5	18	11
5	19	2
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	23
6	11	17
6	12	4
6	13	23
6	14	7
6	15	0
6	16	8
6	17	20
6	18	1
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
